title,year,tg,tg_adj,op,op_adj,tg_theaters,op_theaters,opdate,cldate,days,budget
Frontera,2014.0,59696,104.0,10962,3654.0,14,3,9/5/2014,10/16/2014,41.0,
Wetlands,2014.0,59478,66.087,6488,6488.0,10,1,9/5/2014,12/4/2014,90.0,
Cheap Thrills,2014.0,59424,60.024,18638,9319.0,18,2,3/21/2014,5/15/2014,55.0,
Walk of Shame,2014.0,59209,193.493,39751,779.431,51,51,5/2/2014,5/8/2014,6.0,
The One I Wrote For You,2014.0,58872,200.245,48643,992.714,49,49,12/5/2014,12/11/2014,6.0,
Sagrada: The Mystery of Creation,2014.0,58755,51.091,2009,2009.0,5,1,9/12/2014,4/30/2015,230.0,
Rudderless,2014.0,58293,249.115,37440,2080.0,18,18,10/17/2014,10/30/2014,13.0,
Borgman,2014.0,57474,59.497,5317,2658.5,14,2,6/6/2014,8/14/2014,69.0,
The Rocket (2014),2014.0,56823,32.341,4621,2310.5,7,2,1/10/2014,9/18/2014,251.0,
Ilo Ilo,2014.0,56773,127.867,8775,4387.5,4,2,4/4/2014,7/24/2014,111.0,
The Bag Man,2014.0,56574,290.123,29231,14615.5,15,2,2/28/2014,3/13/2014,13.0,
Big Men,2014.0,56286,193.423,7539,7539.0,3,1,3/14/2014,6/19/2014,97.0,
In Bloom,2014.0,56092,80.592,9280,4640.0,4,2,1/10/2014,7/3/2014,174.0,
Hellion,2014.0,55708,128.954,7601,7601.0,9,1,6/13/2014,7/31/2014,48.0,
Starred Up,2014.0,54915,122.578,10358,5179.0,7,2,8/27/2014,10/30/2014,64.0,
Half of a Yellow Sun,2014.0,54529,31.926,4843,4843.0,7,1,5/16/2014,1/15/2015,244.0,
Low Down,2014.0,54051,122.843,5278,5278.0,8,1,10/24/2014,12/18/2014,55.0,
Hateship Loveship,2014.0,54030,87.854,6015,6015.0,15,1,4/11/2014,5/22/2014,41.0,
"1,000 Times Good Night",2014.0,53895,83.171,24120,1005.0,24,24,10/24/2014,11/20/2014,27.0,
At Middleton,2014.0,53837,134.592,33768,1688.4,20,20,1/31/2014,2/20/2014,20.0,
Ping Pong Summer,2014.0,52909,155.615,25781,1516.529,17,17,6/6/2014,6/26/2014,20.0,
To Be Takei,2014.0,52823,70.619,22846,1038.455,22,22,8/22/2014,9/25/2014,34.0,
The Missing Picture,2014.0,52164,81.634,10148,2029.6,9,5,3/19/2014,5/29/2014,71.0,
The Retrieval,2014.0,50257,49.759,7232,7232.0,5,1,3/14/2014,10/2/2014,202.0,
The Discoverers,2014.0,50020,89.964,7166,7166.0,4,1,5/16/2014,10/2/2014,139.0,
NOW: In the Wings on a World Stage,2014.0,49591,24.672,21500,7166.667,3,3,5/2/2014,03/02/2016,670.0,
The Internet's Own Boy,2014.0,48911,177.214,21705,1808.75,12,12,6/27/2014,7/20/2014,23.0,
A Birder's Guide to Everything,2014.0,48713,225.523,21602,2700.25,8,8,3/21/2014,4/17/2014,27.0,
American Mustang,2014.0,48700,151.713,7906,7906.0,3,1,1/17/2014,5/4/2014,107.0,
Viva La Liberta,2014.0,48541,70.349,5272,2636.0,10,2,11/7/2014,1/15/2015,69.0,
Lucky Them,2014.0,48421,86.776,3728,3728.0,9,1,5/30/2014,7/31/2014,62.0,
Decoding Annie Parker,2014.0,48390,286.331,16781,1290.846,13,13,5/2/2014,5/15/2014,13.0,
Alphaville (2013 re-release),2014.0,47696,202.102,7298,7298.0,2,1,2/7/2014,6/5/2014,118.0,
A Master Builder,2014.0,46874,144.673,7017,7017.0,4,1,7/23/2014,10/12/2014,81.0,
Filmistaan,2014.0,45406,145.532,31113,1296.375,24,24,6/6/2014,6/19/2014,13.0,
Return to The Hiding Place,2014.0,45405,1513.5,36942,7388.4,5,5,5/23/2014,5/29/2014,6.0,
Ai Weiwei: The Fake Case,2014.0,45255,81.984,5066,5066.0,8,1,5/16/2014,7/24/2014,69.0,
There's No Place Like Utopia,2014.0,45254,565.675,30710,30710.0,5,1,7/18/2014,8/3/2014,16.0,
The Dog,2014.0,44581,33.57,12431,4143.667,16,3,8/8/2014,10/30/2014,83.0,
If You Build It,2014.0,43393,139.977,4949,4949.0,5,1,1/10/2014,3/13/2014,62.0,
Road to Ninja - Naruto the Movie,2014.0,43171,23.931,19017,475.425,44,40,8/29/2014,10/9/2014,41.0,
Next Goal Wins,2014.0,43089,69.498,2568,513.6,10,5,4/25/2014,6/26/2014,62.0,
Interior. Leather Bar.,2014.0,42534,204.49,5218,5218.0,2,1,1/3/2014,4/17/2014,104.0,
Blood Ties (2014),2014.0,42472,116.681,26912,961.143,28,28,3/21/2014,4/3/2014,13.0,
The Last Of The Unjust,2014.0,40563,6.725,14328,1791.0,8,8,2/7/2014,03/02/2016,754.0,
Teenage,2014.0,40169,132.135,8000,8000.0,4,1,3/14/2014,5/29/2014,76.0,
Child of God,2014.0,39324,378.115,27630,3453.75,8,8,8/1/2014,8/14/2014,13.0,
Expedition to the End of the World,2014.0,39115,125.369,6635,6635.0,4,1,8/20/2014,11/6/2014,78.0,
7 Boxes,2014.0,38106,71.628,6447,1074.5,7,6,2/7/2014,4/24/2014,76.0,
Dead Snow 2: Red vs. Dead,2014.0,37473,65.17,17331,693.24,25,25,10/10/2014,11/2/2014,23.0,
Not Cool,2014.0,36026,2771.231,10329,10329.0,1,1,9/19/2014,10/2/2014,13.0,
Le Jour Se Leve (2014 re-release),2014.0,35321,189.898,11864,3954.667,3,3,11/14/2014,1/15/2015,62.0,
Beneath the Harvest Sky,2014.0,34768,173.84,16768,2096.0,10,8,4/25/2014,5/15/2014,20.0,
This Ain't No Mouse Music!,2014.0,34754,214.531,15982,3995.5,6,4,9/19/2014,10/16/2014,27.0,
Expelled from Paradise,2014.0,34510,5.965,18869,1451.462,13,13,12/13/2014,03/02/2016,445.0,
Tiger & Bunny The Movie: The Rising,2014.0,34471,147.312,23171,1287.278,18,18,3/14/2014,3/27/2014,13.0,
Filth,2014.0,34411,125.131,7526,2508.667,5,3,5/30/2014,7/24/2014,55.0,
Rocks in my Pockets,2014.0,34236,178.312,4674,4674.0,3,1,9/3/2014,11/6/2014,64.0,
White Bird in a Blizzard,2014.0,33821,50.329,6302,1575.5,14,4,10/24/2014,12/11/2014,48.0,
It Felt Like Love,2014.0,33817,204.952,8211,8211.0,3,1,3/21/2014,5/15/2014,55.0,
Big Bad Wolves,2014.0,33232,6.126,6342,1057.0,7,6,1/17/2014,03/02/2016,775.0,
A Field in England,2014.0,32846,3.351,9498,730.615,13,13,2/7/2014,03/02/2016,754.0,
For a Woman,2014.0,32286,86.79,6530,3265.0,4,2,5/2/2014,8/3/2014,93.0,
The Hero of Color City,2014.0,32188,17.278,24260,351.594,69,69,10/3/2014,10/30/2014,27.0,
Bird People,2014.0,32111,169.899,7443,7443.0,7,1,9/12/2014,10/9/2014,27.0,
Abuse of Weakness,2014.0,31611,83.187,9140,9140.0,5,1,8/15/2014,10/30/2014,76.0,
The Passionate Thief (2014 re-release),2014.0,31539,108.01,8677,8677.0,2,1,12/5/2014,4/30/2015,146.0,
Documented,2014.0,30662,185.83,5422,5422.0,3,1,5/2/2014,6/26/2014,55.0,
Happy Christmas,2014.0,30312,70.167,7523,1880.75,9,4,7/25/2014,9/11/2014,48.0,
Jimmy P,2014.0,30283,140.199,7191,7191.0,8,1,2/14/2014,3/13/2014,27.0,
Southern Baptist Sissies,2014.0,30160,90.571,5200,5200.0,3,1,2/21/2014,6/12/2014,111.0,
A Long Way Off,2014.0,30104,24.18,1926,1926.0,15,1,5/16/2014,8/7/2014,83.0,"$500,000"
Manakamana,2014.0,30029,30.767,3635,3635.0,4,1,4/18/2014,12/18/2014,244.0,
Yellow Day,2014.0,29656,55.955,29144,29144.0,1,1,9/19/2014,03/02/2016,530.0,
Othello (2014 re-release),2014.0,28980,131.727,6010,3005.0,4,2,4/25/2014,6/19/2014,55.0,
Why Don't You Play in Hell,2014.0,28534,5.393,5060,1686.667,11,3,11/7/2014,03/02/2016,481.0,
Stations of the Elevated,2014.0,28516,838.706,9423,9423.0,1,1,10/17/2014,11/20/2014,34.0,
Closed Curtain,2014.0,28098,312.2,5002,5002.0,5,1,7/9/2014,7/27/2014,18.0,
The King and the Mockingbird,2014.0,27513,43.533,3721,3721.0,8,1,11/21/2014,2/8/2015,79.0,
Lilting,2014.0,27054,88.412,1567,1567.0,9,1,9/26/2014,10/30/2014,34.0,
Last Weekend,2014.0,27053,82.479,2661,2661.0,8,1,8/29/2014,10/9/2014,41.0,
Elena (2014),2014.0,25788,477.556,10341,10341.0,2,1,5/30/2014,6/26/2014,27.0,
Christian Mingle,2014.0,25480,283.111,19836,1322.4,15,15,10/10/2014,10/16/2014,6.0,
Level Five,2014.0,25386,42.31,7161,3580.5,2,2,8/15/2014,6/11/2015,300.0,
Adult World,2014.0,25368,85.414,3783,1891.5,11,2,2/14/2014,3/13/2014,27.0,
Born to Fly: Elizabeth Streb vs. Gravity,2014.0,24630,547.333,8406,8406.0,3,1,9/10/2014,9/25/2014,15.0,
Happy Valley (2014),2014.0,23868,221.0,9047,2261.75,4,4,11/21/2014,12/18/2014,27.0,
A Tale of Winter (Conte d'hiver),2014.0,23268,131.458,3802,3802.0,3,1,12/19/2014,2/16/2015,59.0,
Star Wars: The Force Awakens,2015.0,926225742,2987.343,247966675,59982.263,4134,4134,12/18/2015,03/02/2016,75.0,200000000.0
Jurassic World,2015.0,652270625,950.056,208806270,48855.0,4291,4274,6/12/2015,11/19/2015,160.0,150000000.0
Avengers: Age of Ultron,2015.0,459005868,670.904,191271109,44731.316,4276,4276,5/1/2015,10/8/2015,160.0,250000000.0
Inside Out,2015.0,356461711,492.696,90440272,22919.481,4158,3946,6/19/2015,12/10/2015,174.0,175000000.0
Furious 7,2015.0,353007020,783.652,147187040,36760.0,4022,4004,4/3/2015,7/24/2015,112.0,190000000.0
Minions,2015.0,336045770,487.192,115718405,26905.0,4311,4301,7/10/2015,12/17/2015,160.0,74000000.0
The Hunger Games: Mockingjay - Part 2,2015.0,281723902,695.658,102665981,24590.654,4175,4175,11/20/2015,2/25/2016,97.0,160000000.0
The Martian,2015.0,228383455,389.861,54308575,14176.083,3854,3831,10/2/2015,03/02/2016,152.0,108000000.0
Cinderella (2015),2015.0,201151353,278.055,67877361,17653.41,3848,3845,3/13/2015,9/17/2015,188.0,95000000.0
Spectre,2015.0,199847520,434.741,70403148,17918.847,3929,3929,11/6/2015,03/02/2016,117.0,245000000.0
Mission: Impossible - Rogue Nation,2015.0,195042377,543.415,55520089,14034.401,3988,3956,7/31/2015,10/29/2015,90.0,150000000.0
Pitch Perfect 2,2015.0,184296230,662.555,69216890,19930.0,3660,3473,5/15/2015,7/30/2015,76.0,29000000.0
Ant-Man,2015.0,180202163,304.496,57225526,14840.645,3868,3856,7/17/2015,12/17/2015,153.0,130000000.0
Home (2015),2015.0,177397510,279.469,52107731,14052.786,3801,3708,3/27/2015,9/10/2015,167.0,135000000.0
The Revenant,2015.0,171171234,678.314,474560,118640.0,3711,4,12/25/2015,03/02/2016,68.0,135000000.0
Hotel Transylvania 2,2015.0,169692572,283.24,48464322,12910.048,3768,3754,9/25/2015,03/02/2016,159.0,80000000.0
Fifty Shades of Grey,2015.0,166167230,547.747,85171450,23360.244,3655,3646,2/13/2015,5/7/2015,83.0,40000000.0
The SpongeBob Movie: Sponge Out of Water,2015.0,162994032,399.026,55365012,15205.991,3680,3641,2/6/2015,5/28/2015,111.0,74000000.0
Straight Outta Compton,2015.0,161197785,743.539,60200180,21835.394,3142,2757,8/14/2015,10/22/2015,69.0,28000000.0
San Andreas,2015.0,155190832,292.886,54588173,14452.786,3812,3777,5/29/2015,10/15/2015,139.0,110000000.0
Mad Max: Fury Road,2015.0,153636354,312.711,45428128,12271.239,3722,3702,5/15/2015,9/24/2015,132.0,150000000.0
Daddy's Home,2015.0,148428198,626.692,38740203,11843.535,3483,3271,12/25/2015,03/02/2016,68.0,
The Divergent Series: Insurgent,2015.0,130179072,302.654,52263680,13487.401,3875,3875,3/20/2015,7/9/2015,111.0,110000000.0
The Peanuts Movie,2015.0,130114965,285.006,44213073,11345.413,3902,3897,11/6/2015,03/02/2016,117.0,99000000.0
Kingsman: The Secret Service,2015.0,128261724,267.674,36206331,11300.353,3282,3204,2/13/2015,7/9/2015,146.0,81000000.0
The Good Dinosaur,2015.0,122259800,332.768,39155217,10444.176,3749,3749,11/25/2015,03/02/2016,98.0,
Spy,2015.0,110825712,238.656,29085719,7837.704,3715,3711,6/5/2015,10/8/2015,125.0,65000000.0
Trainwreck,2015.0,110212700,386.183,30097040,9530.412,3171,3158,7/17/2015,10/15/2015,90.0,35000000.0
Creed,2015.0,109725586,319.717,29632823,8705.295,3502,3404,11/25/2015,03/02/2016,98.0,35000000.0
Tomorrowland,2015.0,93436322,199.354,33028165,8315.248,3972,3972,5/22/2015,9/17/2015,118.0,190000000.0
Get Hard,2015.0,90411453,270.654,33803253,10646.694,3212,3175,3/27/2015,7/9/2015,104.0,40000000.0
Terminator: Genisys,2015.0,89760956,304.198,27018486,7189.592,3783,3758,7/1/2015,9/17/2015,78.0,155000000.0
Taken 3,2015.0,89256424,198.679,39201657,10907.528,3594,3594,1/9/2015,5/14/2015,125.0,48000000.0
Sisters,2015.0,86978220,389.426,13922855,4700.491,2978,2962,12/18/2015,03/02/2016,75.0,30000000.0
Alvin and the Chipmunks: The Road Chip,2015.0,84833508,305.294,14287159,3911.076,3705,3653,12/18/2015,03/02/2016,75.0,
Maze Runner: The Scorch Trials,2015.0,81697192,172.357,30316510,7996.969,3792,3791,9/18/2015,1/21/2016,125.0,61000000.0
Ted 2,2015.0,81476385,381.13,33507870,9735.0,3448,3442,6/26/2015,8/27/2015,62.0,68000000.0
Goosebumps,2015.0,80075779,160.381,23618556,6746.231,3618,3501,10/16/2015,03/02/2016,138.0,58000000.0
Pixels,2015.0,78747585,197.679,24011616,6449.534,3723,3723,7/24/2015,11/8/2015,107.0,88000000.0
Paddington,2015.0,76271832,148.587,18966676,5742.257,3355,3303,1/16/2015,6/18/2015,153.0,55000000.0
The Intern,2015.0,75764672,219.43,17728313,5364.089,3320,3305,9/25/2015,1/7/2016,104.0,35000000.0
Bridge of Spies,2015.0,72264205,182.267,15371203,5468.233,2873,2811,10/16/2015,03/02/2016,138.0,40000000.0
Paul Blart: Mall Cop 2,2015.0,71038190,182.744,23762435,6540.72,3633,3633,4/17/2015,8/2/2015,107.0,30000000.0
The Big Short,2015.0,68600710,330.8,705527,88190.875,2529,8,12/11/2015,03/02/2016,82.0,28000000.0
War Room,2015.0,67790117,325.734,11351389,10001.224,1945,1135,8/28/2015,12/13/2015,107.0,3000000.0
Magic Mike XXL,2015.0,66013057,230.043,12857184,3832.246,3376,3355,7/1/2015,9/24/2015,85.0,14800000.0
The Visit,2015.0,65206105,272.546,25427560,8285.292,3148,3069,9/11/2015,11/26/2015,76.0,5000000.0
The Wedding Ringer,2015.0,64460211,271.712,20649306,6876.226,3003,3003,1/16/2015,4/5/2015,79.0,23000000.0
Black Mass,2015.0,62575678,258.27,22635037,7100.074,3188,3188,9/18/2015,12/3/2015,76.0,53000000.0
Vacation,2015.0,58884188,186.602,14681108,4304.048,3430,3411,7/29/2015,10/29/2015,92.0,31000000.0
The Perfect Guy,2015.0,57027435,308.107,25888154,11656.08,2230,2221,9/11/2015,12/3/2015,83.0,12000000.0
Joy,2015.0,56359659,283.454,17015168,5875.403,2924,2896,12/25/2015,03/02/2016,68.0,60000000.0
Fantastic Four,2015.0,56117548,184.413,25685737,6429.471,4004,3995,8/7/2015,10/22/2015,76.0,120000000.0
Focus (2015),2015.0,53862963,234.915,18685137,5622.972,3323,3323,2/27/2015,5/7/2015,69.0,50100000.0
The Hateful Eight,2015.0,53585444,268.217,4610676,46106.76,2938,100,12/25/2015,03/02/2016,68.0,44000000.0
Southpaw,2015.0,52421953,181.839,16701294,6024.998,2772,2772,7/24/2015,11/5/2015,104.0,30000000.0
Insidious Chapter 3,2015.0,52218558,251.092,22692741,7559.208,3014,3002,6/5/2015,8/13/2015,69.0,10000000.0
Poltergeist (2015),2015.0,47425125,192.478,22620386,6981.601,3242,3240,5/22/2015,8/6/2015,76.0,35000000.0
Jupiter Ascending,2015.0,47387723,165.524,18372372,5775.659,3181,3181,2/6/2015,5/7/2015,90.0,176000000.0
Sicario,2015.0,46889293,151.667,401288,66881.333,2620,6,9/18/2015,1/14/2016,118.0,30000000.0
The Man From U.N.C.L.E.,2015.0,45445109,179.315,13421036,3689.125,3673,3638,8/14/2015,10/22/2015,69.0,75000000.0
"McFarland, USA",2015.0,44482410,114.619,11020798,4000.29,2792,2755,2/20/2015,7/9/2015,139.0,
The Gift (2015),2015.0,43787265,277.681,11854273,4736.026,2503,2503,8/7/2015,10/9/2015,63.0,5000000.0
Everest (2015),2015.0,43482270,209.431,7222035,13251.44,3009,545,9/18/2015,11/26/2015,69.0,55000000.0
The Night Before,2015.0,43035725,141.156,9880536,3338.019,2960,2960,11/20/2015,03/02/2016,103.0,25000000.0
Krampus,2015.0,42725475,164.461,16293325,5614.516,2919,2902,12/4/2015,03/02/2016,89.0,15000000.0
Max (2015),2015.0,42656255,133.899,12155254,4257.532,2870,2855,6/26/2015,10/15/2015,111.0,20000000.0
The Age of Adaline,2015.0,42629776,182.709,13203458,4414.396,3070,2991,4/24/2015,7/9/2015,76.0,
Spotlight,2015.0,39289249,277.067,295009,59001.8,1212,5,11/6/2015,03/02/2016,117.0,
The Longest Ride,2015.0,37446117,123.426,13019686,3867.999,3371,3366,4/10/2015,7/9/2015,90.0,34000000.0
Brooklyn,2015.0,36593350,319.654,187281,37456.2,962,5,11/4/2015,03/02/2016,119.0,
The Boy Next Door,2015.0,35423380,282.213,14910105,5730.248,2615,2602,1/23/2015,3/12/2015,48.0,4000000.0
Pan,2015.0,35088320,110.916,15315435,4357.165,3515,3515,10/9/2015,1/7/2016,90.0,150000000.0
Hot Pursuit,2015.0,34580201,137.184,13942258,4642.777,3037,3003,5/8/2015,7/30/2015,83.0,35000000.0
Concussion (2015),2015.0,34436742,178.255,10513749,3700.721,2841,2841,12/25/2015,03/02/2016,68.0,35000000.0
The DUFF,2015.0,34030343,156.371,10809149,4197.728,2622,2575,2/20/2015,5/14/2015,83.0,8500000.0
Woman in Gold,2015.0,33307793,123.603,2091551,8106.787,2011,258,4/1/2015,8/13/2015,134.0,11000000.0
The Second Best Exotic Marigold Hotel,2015.0,33078266,147.38,8540370,5429.352,2022,1573,3/6/2015,6/25/2015,111.0,10000000.0
Unfriended,2015.0,32482090,285.494,15845115,5785.0,2775,2739,4/17/2015,5/28/2015,41.0,"$1,000,000"
Entourage,2015.0,32363404,146.661,10283250,3308.639,3108,3108,6/3/2015,8/13/2015,71.0,30000000.0
Paper Towns,2015.0,32000304,127.201,12650140,4173.586,3031,3031,7/24/2015,10/15/2015,83.0,12000000.0
Chappie,2015.0,31569268,170.04,13346782,4169.566,3201,3201,3/6/2015,5/3/2015,58.0,49000000.0
Crimson Peak,2015.0,31090320,253.527,13143310,4404.595,2991,2984,10/16/2015,11/26/2015,41.0,55000000.0
A Walk in the Woods,2015.0,29504281,125.432,8246267,4207.279,2158,1960,9/2/2015,12/20/2015,109.0,
Point Break (2015),2015.0,28782481,159.53,9800252,3367.784,2910,2910,12/25/2015,2/25/2016,62.0,105000000.0
Sinister 2,2015.0,27740955,143.638,10542116,3811.322,2799,2766,8/21/2015,10/29/2015,69.0,10000000.0
The Last Witch Hunter,2015.0,27367660,128.693,10812861,3508.391,3082,3082,10/23/2015,12/31/2015,69.0,90000000.0
No Escape,2015.0,27288872,86.857,8111264,2417.664,3415,3355,8/26/2015,11/26/2015,92.0,
Ricki and the Flash,2015.0,26822144,199.927,6610961,4124.118,2064,1603,8/7/2015,10/11/2015,65.0,18000000.0
The Woman in Black 2: Angel of Death,2015.0,26501323,134.013,15027415,5775.332,2602,2602,1/2/2015,3/19/2015,76.0,
Run All Night,2015.0,26461644,151.725,11012305,3472.818,3171,3171,3/13/2015,5/7/2015,55.0,50000000.0
Love the Coopers,2015.0,26302731,162.98,8317545,3195.369,2603,2603,11/13/2015,1/14/2016,62.0,17000000.0
The Lazarus Effect,2015.0,25801047,93.056,10203437,3827.246,2666,2666,2/27/2015,6/11/2015,104.0,3300000.0
Ex Machina,2015.0,25442958,86.959,237264,59316.0,2004,4,4/10/2015,9/3/2015,146.0,15000000.0
In the Heart of the Sea,2015.0,25020758,130.055,11053366,3562.155,3103,3103,12/11/2015,2/11/2016,62.0,100000000.0
The Gallows,2015.0,22764410,121.294,9808463,3606.053,2720,2720,7/10/2015,9/17/2015,69.0,"$100,000"
Hitman: Agent 47,2015.0,22467450,124.809,8326530,2553.367,3273,3261,8/21/2015,10/15/2015,55.0,35000000.0
Project Almanac,2015.0,22348241,140.114,8310252,2872.538,2900,2893,1/30/2015,3/26/2015,55.0,12000000.0
Black or White,2015.0,21571189,113.777,6213362,3408.317,1823,1823,1/30/2015,5/14/2015,104.0,9000000.0
Aloha,2015.0,21067116,120.708,9670235,3435.252,2815,2815,5/29/2015,7/30/2015,62.0,37000000.0
The Secret in their Eyes (2015),2015.0,20180155,153.391,6652996,2781.353,2392,2392,11/20/2015,1/14/2016,55.0,19500000.0
Shaun the Sheep Movie,2015.0,19375982,105.258,4038962,1740.932,2360,2320,8/5/2015,10/22/2015,78.0,
Still Alice,2015.0,18754371,113.835,197000,16416.667,1318,12,1/16/2015,5/21/2015,125.0,5000000.0
Paranormal Activity: The Ghost Dimension,2015.0,18300124,345.337,8070493,4873.486,1656,1656,10/23/2015,11/24/2015,32.0,10000000.0
Steve Jobs,2015.0,17766658,109.64,521522,130380.5,2493,4,10/9/2015,12/13/2015,65.0,30000000.0
Mr. Holmes,2015.0,17737646,177.949,2434908,6744.898,898,361,7/17/2015,11/5/2015,111.0,
Dope,2015.0,17506470,97.161,6100010,3046.958,2002,2002,6/19/2015,9/17/2015,90.0,7000000.0
Seventh Son,2015.0,17223265,146.115,7217640,2510.483,2875,2875,2/6/2015,3/19/2015,41.0,95000000.0
Monkey Kingdom,2015.0,16432322,84.198,4577861,2275.279,2012,2012,4/17/2015,7/23/2015,97.0,
The Transporter Refueled,2015.0,16029670,61.42,7355622,2141.998,3434,3434,9/4/2015,11/19/2015,76.0,
It Follows,2015.0,14674076,85.255,160089,40022.25,1655,4,3/13/2015,6/25/2015,104.0,
American Ultra,2015.0,14440985,108.299,5454284,1963.385,2778,2778,8/21/2015,10/8/2015,48.0,28000000.0
Woodlawn,2015.0,14394097,78.547,4002226,2577.093,1553,1553,10/16/2015,2/11/2016,118.0,
Burnt,2015.0,13651946,43.713,5002521,1665.841,3003,3003,10/30/2015,2/11/2016,104.0,20000000.0
Room,2015.0,13474429,113.272,118298,29574.5,862,4,10/16/2015,03/02/2016,138.0,
Do You Believe?,2015.0,12985600,98.726,3591282,2720.668,1356,1320,3/20/2015,6/25/2015,97.0,
Love & Mercy,2015.0,12551031,134.469,2122177,4412.01,791,481,6/5/2015,10/1/2015,118.0,
Carol,2015.0,12519390,153.858,253510,63377.5,790,4,11/20/2015,03/02/2016,103.0,
Strange Magic,2015.0,12429583,49.587,5504441,1822.663,3020,3020,1/23/2015,4/16/2015,83.0,
Hot Tub Time Machine 2,2015.0,12314651,124.852,5963324,2070.599,2901,2880,2/20/2015,3/26/2015,34.0,14000000.0
Self/Less,2015.0,12279691,108.724,5403460,2296.413,2353,2353,7/10/2015,8/27/2015,48.0,26000000.0
Far from the Madding Crowd,2015.0,12236500,130.442,164985,16498.5,902,10,5/1/2015,8/13/2015,104.0,
The 33,2015.0,12227722,72.273,5787266,2360.223,2452,2452,11/13/2015,1/21/2016,69.0,
The Danish Girl,2015.0,11011016,144.456,187318,46829.5,794,4,11/27/2015,03/02/2016,96.0,
The Gunman,2015.0,10664749,92.371,5028702,1785.761,2816,2816,3/20/2015,4/30/2015,41.0,40000000.0
Unfinished Business,2015.0,10219501,89.757,4772613,1718.622,2777,2777,3/6/2015,4/16/2015,41.0,35000000.0
The Walk,2015.0,10137502,103.601,1560299,3482.81,2509,448,9/30/2015,11/8/2015,39.0,35000000.0
Un Gallo con Muchos Huevos,2015.0,9080818,307.116,3424702,8670.132,616,395,9/4/2015,10/22/2015,48.0,5300000.0
Amy,2015.0,8413144,79.591,222500,37083.333,435,6,7/3/2015,03/02/2016,243.0,
Bajrangi Bhaijaan,2015.0,8178001,578.564,2621282,10199.541,257,257,7/17/2015,9/10/2015,55.0,
Dragon Ball Z: Resurrection 'F',2015.0,8008363,674.729,1817937,9934.082,913,183,8/4/2015,8/17/2015,13.0,
Blackhat,2015.0,8005980,155.88,3901815,1519.99,2568,2567,1/16/2015,2/5/2015,20.0,70000000.0
Trumbo (2015),2015.0,7851324,101.675,74177,14835.4,660,5,11/6/2015,03/02/2016,117.0,
Mortdecai,2015.0,7696134,107.644,4200586,1586.324,2648,2648,1/23/2015,2/19/2015,27.0,60000000.0
While We're Young,2015.0,7587485,107.068,227688,56922.0,762,4,3/27/2015,6/28/2015,93.0,
I'll See You In My Dreams,2015.0,7449681,217.7,52091,17363.667,290,3,5/15/2015,9/10/2015,118.0,
The Green Inferno,2015.0,7192291,113.689,3520626,2286.121,1543,1540,9/25/2015,11/5/2015,41.0,5000000.0
Our Brand Is Crisis (2015),2015.0,7002261,66.249,3238433,1470.678,2202,2202,10/30/2015,12/17/2015,48.0,28000000.0
Grandma (2015),2015.0,6980421,33.913,115540,28885.0,1061,4,8/21/2015,03/02/2016,194.0,"$600,000"
Me and Earl and the Dying Girl,2015.0,6758416,86.314,196496,13099.733,870,15,6/12/2015,9/10/2015,90.0,8000000.0
Baahubali: The Beginning,2015.0,6738000,2039.346,3575000,15148.305,236,236,7/9/2015,7/23/2015,14.0,
Bajirao Mastani,2015.0,6557047,287.59,1744975,5740.049,304,304,12/18/2015,03/02/2016,75.0,
Little Boy,2015.0,6485961,112.848,2750356,2631.92,1045,1045,4/24/2015,6/18/2015,55.0,
The Loft,2015.0,6002684,120.761,2747342,1492.31,1841,1841,1/30/2015,2/26/2015,27.0,
Victor Frankenstein,2015.0,5775076,57.354,2469341,882.853,2797,2797,11/25/2015,12/31/2015,36.0,
Danny Collins,2015.0,5637066,100.368,72459,14491.8,739,5,3/20/2015,6/4/2015,76.0,10000000.0
Dilwale,2015.0,4871263,519.324,1920402,7165.679,268,268,12/17/2015,1/21/2016,35.0,
90 Minutes in Heaven,2015.0,4842699,105.623,2035273,2318.079,899,878,9/11/2015,11/1/2015,51.0,5000000.0
True Story,2015.0,4719695,114.868,1950214,2346.828,856,831,4/17/2015,6/4/2015,48.0,
Suffragette,2015.0,4702420,109.585,76244,19061.0,517,4,10/23/2015,1/14/2016,83.0,
Prem Ratan Dhan Payo,2015.0,4364639,724.181,2425585,8451.516,287,287,11/12/2015,12/3/2015,21.0,
The Water Diviner,2015.0,4196641,160.3,1220335,3813.547,385,320,4/24/2015,7/1/2015,68.0,22500000.0
Irrational Man,2015.0,4030360,39.254,175312,25044.571,925,7,7/17/2015,11/5/2015,111.0,
45 Years,2015.0,3774240,214.812,65775,21925.0,251,3,12/23/2015,03/02/2016,70.0,
Scouts Guide to the Zombie Apocalypse,2015.0,3703046,122.699,1841007,1220.018,1509,1509,10/30/2015,11/19/2015,20.0,15000000.0
A La Mala,2015.0,3629842,278.021,1402118,3651.349,384,384,2/27/2015,4/2/2015,34.0,
Spare Parts,2015.0,3618912,171.35,1335768,3035.836,440,440,1/16/2015,3/5/2015,48.0,
We Are Your Friends,2015.0,3591417,57.015,1767308,757.526,2333,2333,8/28/2015,9/24/2015,27.0,
What We Do in the Shadows,2015.0,3469224,82.821,88940,17788.0,154,5,2/13/2015,11/12/2015,272.0,
